02-09-2022 16:03:48:348 [33mwarn[39m: [33mAdvertencia[39m
02-09-2022 16:03:48:348 [31merror[39m: [31mError[39m
02-09-2022 16:15:41:1541 warn: Advertencia
02-09-2022 16:15:41:1541 error: Error
05-09-2022 18:01:40:140 warn: Advertencia
05-09-2022 18:01:40:140 error: Error
05-09-2022 18:26:45:2645 warn: Advertencia
05-09-2022 18:26:45:2645 error: Error
05-09-2022 18:27:57:2757 warn: Advertencia
05-09-2022 18:27:57:2757 error: Error
05-09-2022 18:36:31:3631 warn: Advertencia
05-09-2022 18:36:31:3631 error: Error
05-09-2022 18:38:21:3821 warn: Advertencia
05-09-2022 18:38:21:3821 error: Error
05-09-2022 18:39:38:3938 warn: Advertencia
05-09-2022 18:39:38:3938 error: Error
05-09-2022 18:41:02:412 warn: Advertencia
05-09-2022 18:41:02:412 error: Error
05-09-2022 18:44:01:441 warn: Advertencia
05-09-2022 18:44:01:441 error: Error
05-09-2022 18:46:47:4647 warn: Advertencia
05-09-2022 18:46:47:4647 error: Error
05-09-2022 18:53:29:5329 warn: Advertencia
05-09-2022 18:53:29:5329 error: Error
05-09-2022 18:57:47:5747 warn: Advertencia
05-09-2022 18:57:47:5747 error: Error
05-09-2022 19:05:58:558 warn: Advertencia
05-09-2022 19:05:58:558 error: Error
05-09-2022 19:09:11:911 warn: Advertencia
05-09-2022 19:09:11:911 error: Error
05-09-2022 19:22:52:2252 warn: Advertencia
05-09-2022 19:22:52:2252 error: Error
05-09-2022 19:25:49:2549 warn: Advertencia
05-09-2022 19:25:49:2549 error: Error
05-09-2022 19:43:33:4333 warn: Advertencia
05-09-2022 19:43:33:4333 error: Error
05-09-2022 19:52:41:5241 warn: Advertencia
05-09-2022 19:52:41:5241 error: Error
05-09-2022 19:54:19:5419 warn: Advertencia
05-09-2022 19:54:19:5419 error: Error
05-09-2022 19:58:53:5853 warn: Advertencia
05-09-2022 19:58:53:5853 error: Error
05-09-2022 20:03:26:326 warn: Advertencia
05-09-2022 20:03:26:326 error: Error
06-09-2022 16:54:13:5413 warn: Advertencia
06-09-2022 16:54:13:5413 error: Error
